Operación tradicional:
n: 1k
1.588135 ms.	1.550049 ms.	1.549805 ms.	1.585938 ms.	1.447998 ms.	1.576904 ms.	1.490967 ms.	1.458008 ms.	1.372070 ms.	1.258057 ms.	1.352783 ms.	1.342041 ms.	 
176.638916 ms.	131.519043 ms.	183.394043 ms.	240.497070 ms.	241.437012 ms.	262.467773 ms.	243.446045 ms.	286.632080 ms.	365.676025 ms.	250.901123 ms.	248.498047 ms.	185.153076 ms.	 
150.375000 ms.	135.612061 ms.	173.531006 ms.	228.106201 ms.	226.378174 ms.	233.207031 ms.	231.851807 ms.	247.338867 ms.	250.208984 ms.	343.861084 ms.	278.751953 ms.	176.611816 ms.	 
179.347168 ms.	128.678955 ms.	155.658936 ms.	252.787109 ms.	234.325928 ms.	231.389160 ms.	232.756104 ms.	242.778076 ms.	248.622070 ms.	279.285889 ms.	525.223877 ms.	313.579834 ms.	 
133.832031 ms.	88.301025 ms.	101.609863 ms.	195.397949 ms.	164.956055 ms.	166.929932 ms.	168.264893 ms.	175.068848 ms.	189.139160 ms.	177.223877 ms.	311.339844 ms.	398.339111 ms.	 
 
n: 10m
6774.008057 ms.	4553.049072 ms.	4718.812988 ms.	4231.572021 ms.	3663.123047 ms.	4405.038086 ms.	3347.163086 ms.	3477.593018 ms.	3481.165039 ms.	2547.210938 ms.	3220.560059 ms.	2733.401123 ms.	 
4554.208008 ms.	6965.841064 ms.	5242.759033 ms.	4464.622070 ms.	4011.408936 ms.	4733.880127 ms.	3772.477051 ms.	3711.219971 ms.	3766.927002 ms.	2776.947998 ms.	3441.749023 ms.	3026.692139 ms.	 
4727.329834 ms.	5243.240967 ms.	11431.321045 ms.	5985.604980 ms.	4966.380127 ms.	5296.145996 ms.	3675.029785 ms.	4419.352051 ms.	4177.159180 ms.	3144.920166 ms.	3877.349121 ms.	3352.029053 ms.	 
4051.603027 ms.	4470.533936 ms.	5908.221191 ms.	11202.205078 ms.	5681.083008 ms.	5542.545898 ms.	4019.873047 ms.	4684.592773 ms.	4507.011963 ms.	3167.065918 ms.	3989.899902 ms.	3600.302002 ms.	 
3670.402100 ms.	4013.645020 ms.	4966.721191 ms.	5677.615967 ms.	9439.288086 ms.	6252.613037 ms.	4292.457031 ms.	4564.921875 ms.	4123.531982 ms.	3307.765869 ms.	4099.557861 ms.	3453.429932 ms.	 
